COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE;LONGUEUR;NOMENCLATURE;COMMENTAIRES
AAV2020;Zonage en aire d'attraction des villes 2020 d'implantation de l'équipement;liste;liste;CHAR;3;millésime 2024;
AAV2020;Zonage en aire d'attraction des villes 2020 d'implantation de l'équipement;CSZ;Commune sans zonage. La commune n'est pas concernée par les AAV2020.;CHAR;3;;Modalité spécifique à la BPE
ACCES_AIRE_PRATIQUE;Présence d’un aménagement permettant l’accessibilité d’au moins une aire de pratique, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;0;Absence;CHAR;2;;
ACCES_AIRE_PRATIQUE;Présence d’un aménagement permettant l’accessibilité d’au moins une aire de pratique, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;1;Présence;CHAR;2;;
ACCES_AIRE_PRATIQUE;Présence d’un aménagement permettant l’accessibilité d’au moins une aire de pratique, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;_U;Indéterminé;CHAR;2;;
ACCES_AIRE_PRATIQUE;Présence d’un aménagement permettant l’accessibilité d’au moins une aire de pratique, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;_Z;Sans objet;CHAR;2;;
ACCES_LIBRE;Présence d’un équipement en accès libre permanent;0;Absence;CHAR;2;;
ACCES_LIBRE;Présence d’un équipement en accès libre permanent;1;Présence;CHAR;2;;
ACCES_LIBRE;Présence d’un équipement en accès libre permanent;_U;Indéterminé;CHAR;2;;
ACCES_LIBRE;Présence d’un équipement en accès libre permanent;_Z;Sans objet;CHAR;2;;
ACCES_SANITAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un sanitaire, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;0;Absence;CHAR;2;;
ACCES_SANITAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un sanitaire, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;1;Présence;CHAR;2;;
ACCES_SANITAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un sanitaire, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;_U;Indéterminé;CHAR;2;;
ACCES_SANITAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un sanitaire, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;_Z;Sans objet;CHAR;2;;
ACCES_VESTIAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un vestiaire et une douche, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;0;Absence;CHAR;2;;
ACCES_VESTIAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un vestiaire et une douche, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;1;Présence;CHAR;2;;
ACCES_VESTIAIRE;Présence d’un aménagement permettant l’accessibilité d’au moins un vestiaire et une douche, au sein d’une même installation, aux personnes handicapées moteur ou à mobilité réduite;_U;Indéterminé;CHAR;2;;
